"episodeSeqNum","castID","role","notes"
"99","81",NULL,NULL
"100","1",NULL,NULL
"100","2",NULL,NULL
"100","4",NULL,NULL
"100","18",NULL,NULL
"101","1",NULL,NULL
"101","2",NULL,NULL
"101","3",NULL,NULL
"101","4",NULL,NULL
"101","18",NULL,NULL
"101","42",NULL,NULL
"102","1",NULL,NULL
"102","2",NULL,NULL
"102","3",NULL,NULL
"102","9",NULL,NULL
"102","83",NULL,NULL
"103","1",NULL,NULL
"103","2",NULL,NULL
"103","4",NULL,NULL
"103","23",NULL,NULL
"104","1",NULL,NULL
"104","2",NULL,NULL
"104","3",NULL,NULL
"104","4",NULL,NULL
"105","1",NULL,NULL
"105","2",NULL,NULL
"105","4",NULL,NULL
"105","94",NULL,NULL
"106","1",NULL,NULL
"106","2",NULL,NULL
"106","18",NULL,NULL
"106","74",NULL,NULL
"106","113",NULL,NULL
"107","1",NULL,NULL
"107","2",NULL,NULL
"107","3",NULL,NULL
"107","4",NULL,NULL
"108","1",NULL,NULL
"108","2",NULL,NULL
"108","12",NULL,NULL
"109","1",NULL,NULL
"109","2",NULL,"as Sven"
"109","3",NULL,NULL
"109","4",NULL,NULL
"109","15",NULL,"sometimes introduced as ""Meow Blitz"""
"110","1",NULL,NULL
"110","2",NULL,NULL
"110","3",NULL,NULL
"110","4",NULL,NULL
"111","1",NULL,NULL
"111","2",NULL,"as Sven Sontag"
"111","3",NULL,NULL
"111","4",NULL,NULL
"111","90","guest",NULL
"111","97",NULL,NULL
"112","1",NULL,NULL
"112","2",NULL,NULL
"112","3",NULL,NULL
"112","4",NULL,NULL
"112","28",NULL,NULL
"113","1",NULL,NULL
"113","2",NULL,NULL
"113","3",NULL,NULL
"113","4",NULL,NULL
"113","13",NULL,NULL
"114","1",NULL,NULL
"114","2",NULL,NULL
"114","3",NULL,NULL
"114","4",NULL,NULL
"114","6",NULL,NULL
"114","28",NULL,NULL
"114","47",NULL,NULL
"114","328","guest",NULL
"115","1",NULL,NULL
"115","2",NULL,NULL
"115","3",NULL,NULL
"115","4",NULL,NULL
"115","8",NULL,NULL
"115","17",NULL,NULL
"115","47",NULL,NULL
"116","1",NULL,NULL
"116","2",NULL,NULL
"116","3",NULL,NULL
"116","4",NULL,NULL
"116","6",NULL,NULL
"116","28",NULL,NULL
"117","1",NULL,NULL
"117","2",NULL,NULL
"117","3",NULL,NULL
"117","4",NULL,NULL
"117","6",NULL,NULL
"117","11","intern",NULL
"118","1","host",NULL
"118","2","host",NULL
"118","10",NULL,NULL
"118","92","guest",NULL
"118","894","guest",NULL
"118","999","guest",NULL
"119","1",NULL,NULL
"119","2",NULL,NULL
"119","3",NULL,NULL
"119","4",NULL,NULL
"119","6",NULL,NULL
"119","11",NULL,NULL
"119","20","guest",NULL
"120","1",NULL,NULL
"120","2",NULL,NULL
"120","4",NULL,NULL
"120","11","intern",NULL
"121","1",NULL,NULL
"121","2",NULL,NULL
"121","3",NULL,NULL
"121","4",NULL,NULL
"121","6",NULL,NULL
"121","9","guest",NULL
"122","1",NULL,NULL
"122","2",NULL,NULL
"122","4",NULL,NULL
"122","6",NULL,NULL
"122","11","intern",NULL
"122","86","guest",NULL
"123","1",NULL,NULL
"123","2",NULL,NULL
"123","4",NULL,NULL
"123","6",NULL,NULL
"123","11","intern",NULL
"124","1",NULL,NULL
"124","2",NULL,NULL
"125","1",NULL,NULL
"125","2",NULL,NULL
"125","4",NULL,NULL
"125","6",NULL,NULL
"125","11",NULL,NULL
"126","1",NULL,NULL
"126","2",NULL,NULL
"126","3",NULL,NULL
"126","4",NULL,NULL
"126","6",NULL,NULL
"126","36",NULL,NULL
"127","1",NULL,NULL
"127","2",NULL,NULL
"127","3",NULL,NULL
"127","4",NULL,NULL
"127","6",NULL,NULL
"127","8","guest",NULL
"128","1",NULL,NULL
"128","8",NULL,NULL
"128","13",NULL,NULL
"129","2",NULL,NULL
"129","6",NULL,NULL
"129","9",NULL,NULL
"130","2",NULL,NULL
"130","10",NULL,NULL
"130","39",NULL,NULL
"130","43",NULL,NULL
"130","49",NULL,NULL
"131","1",NULL,NULL
"131","2",NULL,NULL
"131","6",NULL,NULL
"131","11",NULL,NULL
"132","1",NULL,NULL
"132","2",NULL,NULL
"132","6",NULL,NULL
"132","11","intern",NULL
"133","1",NULL,NULL
"133","2",NULL,NULL
"133","3",NULL,NULL
"133","6",NULL,NULL
"134","1",NULL,NULL
"134","2",NULL,NULL
"134","3",NULL,NULL
"134","11","intern",NULL
"135","1",NULL,NULL
"135","2",NULL,NULL
"135","9",NULL,NULL
"135","11","intern",NULL
"136","2",NULL,NULL
"136","3",NULL,NULL
"136","11",NULL,NULL
"137","1",NULL,NULL
"137","2",NULL,NULL
"137","3",NULL,NULL
"137","11","intern",NULL
"138","1",NULL,NULL
"138","2",NULL,NULL
"138","3",NULL,NULL
"138","11",NULL,NULL
"139","1",NULL,NULL
"139","2",NULL,NULL
"139","3",NULL,NULL
"140","1",NULL,NULL
"140","2",NULL,NULL
"140","10",NULL,NULL
"141","1",NULL,NULL
"141","2",NULL,NULL
"141","12",NULL,NULL
"141","49",NULL,NULL
"142","1",NULL,NULL
"142","2",NULL,NULL
"142","3",NULL,NULL
"142","12",NULL,NULL
"142","52",NULL,NULL
"144","1",NULL,NULL
"144","2",NULL,NULL
"144","10",NULL,NULL
"144","39",NULL,NULL
"145","1",NULL,NULL
"145","2",NULL,NULL
"146","1",NULL,NULL
"146","2",NULL,NULL
"146","3",NULL,NULL
"147","1",NULL,NULL
"147","2",NULL,NULL
"148","1",NULL,NULL
"148","2",NULL,NULL
"149","1",NULL,NULL
"149","2",NULL,NULL
"150","1",NULL,NULL
"150","2",NULL,NULL
"150","3",NULL,NULL
"151","1",NULL,NULL
"151","2",NULL,NULL
"152","1",NULL,NULL
"152","2",NULL,NULL
"152","35",NULL,NULL
"153","1",NULL,NULL
"153","2",NULL,NULL
"153","37",NULL,NULL
"154","1",NULL,NULL
"154","2",NULL,NULL
"154","82",NULL,NULL
"155","1",NULL,NULL
"155","2",NULL,NULL
"156","1",NULL,NULL
"156","2",NULL,NULL
"156","5",NULL,NULL
"156","16",NULL,NULL
"157","1",NULL,NULL
"157","2",NULL,NULL
"157","5",NULL,NULL
"157","70",NULL,NULL
"157","78",NULL,NULL
"158","1",NULL,NULL
"158","2",NULL,NULL
"158","3",NULL,NULL
"159","1",NULL,NULL
"159","2",NULL,NULL
"160","1",NULL,NULL
"160","2",NULL,NULL
"160","13",NULL,NULL
"161","1",NULL,NULL
"161","2",NULL,NULL
"161","9",NULL,NULL
"162","1",NULL,NULL
"162","2",NULL,NULL
"162","3",NULL,NULL
"162","13",NULL,NULL
"163","2",NULL,NULL
"164","1",NULL,NULL
"164","2",NULL,NULL
"165","1",NULL,NULL
"165","2",NULL,NULL
"165","27",NULL,NULL
"166","1",NULL,NULL
"166","2",NULL,NULL
"166","3",NULL,NULL
"166","87",NULL,NULL
"167","1",NULL,NULL
"167","2",NULL,NULL
"167","35","guest",NULL
"168","1",NULL,NULL
"168","16",NULL,NULL
"168","35",NULL,NULL
"168","75",NULL,NULL
"169","16",NULL,NULL
"169","27",NULL,NULL
"169","54",NULL,NULL
"170","1",NULL,NULL
"170","9",NULL,NULL
"170","16",NULL,NULL
"170","54","guest",NULL
"171","1",NULL,NULL
"171","2",NULL,NULL
"172","1",NULL,NULL
"172","2",NULL,NULL
"172","37",NULL,NULL
"174","1",NULL,NULL
"174","2",NULL,NULL
"175","1",NULL,NULL
"175","2",NULL,NULL
"175","16",NULL,NULL
"176","1",NULL,NULL
"176","2",NULL,NULL
"176","3",NULL,NULL
"177","1",NULL,NULL
"177","2",NULL,NULL
"177","3",NULL,NULL
"177","93",NULL,NULL
"178","1",NULL,NULL
"178","2",NULL,NULL
"178","3",NULL,NULL
"179","1",NULL,NULL
"179","2",NULL,NULL
"179","16",NULL,NULL
"180","1",NULL,NULL
"180","2",NULL,NULL
"180","38",NULL,NULL
"181","1",NULL,NULL
"181","2",NULL,NULL
"181","3",NULL,NULL
"181","17",NULL,NULL
"182","1",NULL,NULL
"182","2",NULL,NULL
"182","3",NULL,NULL
"182","9",NULL,NULL
"183","2",NULL,NULL
"183","4",NULL,NULL
"183","10",NULL,NULL
"183","57",NULL,NULL
"183","108",NULL,NULL
"185","1",NULL,NULL
"185","2",NULL,NULL
"186","1",NULL,NULL
"186","2",NULL,NULL
"186","3",NULL,NULL
"187","1",NULL,NULL
"187","2",NULL,NULL
"187","8",NULL,NULL
"188","1",NULL,NULL
"188","2",NULL,NULL
"189","1",NULL,NULL
"189","2",NULL,NULL
"189","10",NULL,NULL
"190","1","guest",NULL
"190","2",NULL,NULL
"190","16","guest",NULL
"190","111","guest",NULL
"192","1",NULL,NULL
"192","2",NULL,NULL
"192","14",NULL,NULL
"194","1",NULL,NULL
"194","2",NULL,NULL
"194","5",NULL,NULL
"196","1",NULL,NULL
"196","2",NULL,NULL
"196","3",NULL,NULL
"196","5",NULL,NULL
"196","13",NULL,NULL
"196","16",NULL,NULL
"197","1",NULL,NULL
"197","2",NULL,NULL
"197","16","guest",NULL
"197","91","guest",NULL
"198","1",NULL,NULL
"198","2",NULL,NULL
"198","8","guest",NULL
"198","17","guest",NULL
"198","61","guest",NULL
"201","1",NULL,NULL
"201","2",NULL,NULL
"201","3",NULL,NULL
"202","1",NULL,NULL
"202","2",NULL,NULL
"203","1",NULL,NULL
"203","2",NULL,NULL
"203","48","guest",NULL
"206","1",NULL,NULL
